ano,sigla_uf,rede,escolaridade,numero_docentes,prop_docentes_rais,rem_bruta_rais_1_quartil,rem_bruta_rais_mediana,rem_bruta_rais_media,rem_bruta_rais_3_quartil,rem_bruta_rais_desvio_padrao,carga_horaria_media_semanal,rem_media_40_horas_semanais
2015,SE,estadual,total,6318,99.84172,3151.05,3441.65,3647.039,3917.82,829.994,39.93304,3653.154
2015,AC,estadual,total,7001,89.57292,2010.94,2520.15,2737.166,3206.63,1281.602,27.7971,3938.779
2015,AM,estadual,total,15928,95.22853,1704.3,2056.84,2406.514,3201.28,913.9842,30.00308,3208.356
2015,AP,estadual,total,7861,62.19311,4031.19,4960.12,5435.494,6307.25,1846.425,39.97872,5438.387
2015,PA,estadual,total,17195,98.90666,4140.29,5321.41,5255.073,6107.21,1627.56,20.48848,10259.57
2015,RO,estadual,total,7884,98.16083,2116.81,2445.98,2419.274,2646.07,606.6322,38.25256,2529.791
2015,RR,estadual,total,4435,97.13641,2226.29,3246.27,3377.259,4298.79,1527.111,30.83317,4381.331
2015,TO,estadual,total,7264,97.45319,3347.93,3531.68,3586.372,4027.65,913.9804,39.9981,3586.542
2015,ES,estadual,total,13822,99.31269,1788.2,2147.24,2238.774,2662.58,830.7622,35.12054,2549.817
2015,MG,estadual,total,100808,98.61122,1451.61,1793.29,2061.029,2556.93,1041.541,24.29381,3393.505
2015,RJ,estadual,total,41181,97.30458,1670.62,2089.94,2415.466,2704.97,1229.763,38.1822,2530.463
2015,SP,estadual,total,161481,99.4278,1905.58,2511.56,2800.283,3447.97,1383.455,32.56227,3439.912
2015,PR,estadual,total,52479,99.61508,2184.41,2899.519,3339.791,4064.44,1814.008,22.15362,6030.24
2015,RS,estadual,total,49549,99.51765,1785.89,2293.05,2483.442,2866.77,1072.06,30.35019,3273.05
2015,SC,estadual,total,24888,99.70267,1737.565,2721.96,2738.423,3357.75,1203.175,24.89733,4399.545
2016,DF,estadual,total,21478,96.85259,4799.34,6543.995,6848.11,8984.13,2401.674,35.92263,7625.398
2016,GO,estadual,total,19355,99.25601,1732.13,3604.69,3524.732,5244.74,1831.161,39.35446,3582.549
2016,MS,estadual,total,12340,96.98541,2512.137,3284.04,3594.892,4482.58,1641.84,20.81682,6907.667
2016,MT,estadual,total,20642,98.48367,1408.422,3093.65,2760.311,3648.87,1482.935,39.99705,2760.515
2016,AL,estadual,total,6630,79.51735,1280.0,1569.08,1717.133,1963.67,810.0615,31.80451,2159.61
2016,BA,estadual,total,35396,91.32953,1867.39,4565.48,4633.597,6908.19,2694.654,33.25606,5573.236
2016,CE,estadual,total,17822,90.40512,1253.035,1981.377,2341.519,3051.72,1325.041,30.21628,3099.679
2016,MA,estadual,total,18270,94.98632,2660.22,3213.57,3530.289,4314.91,1621.526,24.24226,5825.015
2016,PB,estadual,total,15133,92.18265,1006.66,1546.76,1654.992,2200.14,713.3871,30.01939,2205.232
2016,PE,estadual,total,21625,98.64046,1438.49,1768.835,2476.458,3251.25,1289.215,35.89189,2759.909
2016,PI,estadual,total,14535,80.17888,1455.2,2538.66,2371.231,3263.25,1082.806,32.23328,2942.587
2016,RN,estadual,total,8975,87.76602,2364.5,2768.328,2958.766,3369.57,777.6567,39.99722,2958.971
2016,SE,estadual,total,6288,99.71374,3448.15,3709.82,3878.164,4093.28,801.3227,39.84332,3893.414
2016,AC,estadual,total,6852,92.73205,1870.46,2251.08,2557.248,3016.43,1105.228,27.41314,3731.42
2016,AM,estadual,total,16213,94.40572,1914.245,2399.74,2700.594,3360.3,1034.153,30.00397,3600.315
2016,AP,estadual,total,7752,95.14964,2461.13,2851.21,3058.04,3370.26,1078.727,39.32952,3110.173
2016,PA,estadual,total,16866,99.2055,4317.68,5482.69,5470.487,6328.07,1713.963,20.48174,10683.63
2016,RO,estadual,total,7036,98.50767,2259.825,2557.44,2541.529,2763.69,557.8449,38.42073,2645.997
2016,RR,estadual,total,4426,97.24356,2218.08,3332.08,3594.143,4462.04,1617.946,35.31937,4070.45
2016,TO,estadual,total,7088,98.33521,3337.45,3425.7,3629.35,4202.54,993.0444,39.99916,3629.426
2016,ES,estadual,total,12157,99.07049,1992.118,2244.89,2412.559,2879.02,830.7722,34.05778,2833.49
2016,MG,estadual,total,106167,98.35542,1816.2,2151.84,2472.573,3073.98,1172.359,24.27947,4073.52
2016,RJ,estadual,total,41964,97.6313,1641.604,2052.395,2377.279,2634.905,1250.02,38.20166,2489.19
2016,SP,estadual,total,155306,99.45334,1950.5,2588.46,2912.339,3557.66,1529.104,33.07453,3522.152
2016,PR,estadual,total,53091,97.41199,2280.5,3121.49,3662.078,4474.75,2063.858,36.2442,4041.561
2016,RS,estadual,total,47108,99.67946,1802.325,2299.34,2511.271,2902.28,1091.525,30.62106,3280.45
2016,SC,estadual,total,25257,97.24037,1711.539,2654.05,2772.57,3419.49,1282.03,24.74598,4481.65
2017,DF,estadual,total,21672,97.37911,5061.8,6267.56,6880.792,9001.5,2265.371,35.06512,7849.158
2017,GO,estadual,total,19632,99.42441,2048.37,3693.887,3762.578,5539.31,1851.437,39.27672,3831.865
2017,MS,estadual,total,12239,97.45894,2778.71,3582.93,3865.37,4815.69,1638.754,20.68332,7475.339
2017,MT,estadual,total,20557,99.47463,1642.033,3576.515,3183.754,4379.89,1712.475,39.99868,3183.859
2017,AL,estadual,total,6437,80.93833,1335.0,1657.16,1830.519,2121.906,880.7072,32.00503,2287.79
2017,BA,estadual,total,34740,91.07945,1852.06,4957.37,4998.812,7550.02,2985.617,33.43808,5979.784
2017,CE,estadual,total,17951,90.41836,1155.263,1645.26,2231.318,3281.93,1420.21,29.07996,3069.217
2017,MA,estadual,total,17486,95.19044,2890.78,3414.25,3731.682,4724.45,1633.497,24.46557,6101.116
2017,PB,estadual,total,14776,88.23091,1168.66,1912.65,1900.392,2496.76,830.9236,30.00933,2533.068
2017,PE,estadual,total,20489,98.29665,1560.98,2208.13,2735.379,3660.72,1442.029,36.50123,2997.575
2017,PI,estadual,total,14372,78.15196,1465.14,2745.235,2579.296,3648.05,1214.686,32.03293,3220.805
2017,RN,estadual,total,8633,89.37797,2514.89,2885.49,3104.179,3465.48,759.4959,30.26968,4102.03
2017,SE,estadual,total,6405,99.59407,3636.46,3906.12,4052.702,4235.83,757.2288,39.89373,4063.498
2017,AC,estadual,total,8070,78.27757,2041.5,2519.132,2751.099,3288.52,1053.044,27.23838,4040.033
2017,AM,estadual,total,15993,93.65347,1711.24,2107.01,2422.044,3153.207,880.9772,30.00499,3228.855
2017,AP,estadual,total,7198,94.59572,1303.84,1528.89,1783.306,1962.61,897.3204,39.28617,1815.708
2017,PA,estadual,total,15920,99.00754,4544.48,5664.09,5601.534,6423.77,1693.379,20.53781,10909.7
2017,RO,estadual,total,6834,98.4343,2390.17,2683.02,2665.747,2906.61,558.5852,38.56182,2765.168
2017,RR,estadual,total,3926,98.21701,3310.76,4365.83,4932.745,6149.22,1967.261,33.80733,5836.303
2017,TO,estadual,total,7319,99.60377,3454.32,3642.0,3776.949,4368.59,1057.996,39.98359,3778.5
2017,ES,estadual,total,11536,98.60437,2127.79,2380.12,2591.604,3105.53,903.7845,29.12126,3559.741
2017,MG,estadual,total,104421,98.78185,2091.08,2475.46,2841.286,3531.05,1335.189,24.29308,4678.345
2017,RJ,estadual,total,39426,98.05205,1659.56,2027.185,2347.538,2492.41,1232.203,25.51069,3680.87
2017,SP,estadual,total,148744,99.36199,2032.594,2638.064,2992.715,3611.91,1565.27,32.56582,3675.898
2017,PR,estadual,total,47966,96.81441,2597.06,3503.41,3952.027,4860.16,2109.775,22.68374,6968.915
2017,RS,estadual,total,44531,99.2275,1808.61,2311.53,2496.681,2914.31,998.6759,30.92428,3229.412
2017,SC,estadual,total,25164,96.23271,1624.25,2591.16,2752.654,3529.415,1340.663,24.23749,4542.803
2014,DF,privada,total,9503,86.62528,1364.61,2093.485,2634.079,3327.887,1869.507,27.8141,3788.119
2014,GO,privada,total,16009,69.89818,960.14,1303.72,1707.436,1997.84,1208.795,31.06127,2198.798
2014,MS,privada,total,6041,66.71081,1012.18,1497.304,1769.955,2250.773,1024.527,29.09467,2433.373
2014,MT,privada,total,5967,72.44847,1165.92,1571.413,1853.527,2241.75,1035.834,28.6153,2590.96
2014,AL,privada,total,6927,62.72557,758.49,943.68,1241.02,1485.67,755.7832,29.34429,1691.669
2014,BA,privada,total,29749,58.38516,746.12,1078.156,1453.034,1769.63,1071.564,31.05637,1871.479
2014,CE,privada,total,21246,60.71731,739.765,858.42,1269.206,1484.2,1099.159,32.63847,1555.473
2014,MA,privada,total,11971,43.02899,767.12,1066.71,1416.794,1650.16,1041.425,31.40888,1804.323
2014,PB,privada,total,10212,54.42617,711.9854,781.81,1101.25,1345.265,746.2732,26.66617,1651.906
2014,PE,privada,total,26589,61.07413,800.52,1072.44,1399.954,1682.175,995.3435,31.0062,1806.03
2014,PI,privada,total,7132,54.0101,766.66,962.3085,1407.692,1601.24,1157.181,29.57527,1903.877
2014,RN,privada,total,9017,67.68326,739.8287,911.47,1259.043,1526.68,876.743,33.49051,1503.761
2014,SE,privada,total,6182,71.80524,726.25,874.8223,1221.866,1470.72,947.2768,32.58484,1499.92
2014,AC,privada,total,718,74.09471,1606.0,1970.599,2160.688,2511.65,985.1697,30.88749,2798.14
2014,AM,privada,total,4627,75.25394,1108.58,1680.36,2119.008,2798.36,1379.349,33.99871,2493.046
2014,AP,privada,total,1297,65.30455,1023.89,1399.175,1666.416,2017.705,924.3236,29.24871,2278.96
2014,PA,privada,total,11899,57.56786,913.85,1222.96,1667.31,1967.522,1226.611,27.94147,2386.86
2014,RO,privada,total,2804,56.95435,1036.08,1509.17,1866.673,2318.04,1128.085,30.17242,2474.675
2014,RR,privada,total,683,77.89165,1011.395,1687.46,1877.32,2288.89,1142.934,33.58356,2235.998
2014,TO,privada,total,2132,64.49343,1090.94,1605.7,1950.032,2336.54,1567.162,31.38921,2484.971
